A1,A2,A3,DISP1,DISP2,DISP3,DISP4,SELE1,SELE2,,F1,F2,F3,G,P
0,0,0,0,0,0,0,X,X,,0,0,0,0,0
0,0,0,0,0,0,1,X,X,,0,0,0,0,0
0,0,0,0,0,1,0,X,X,,0,0,0,0,0
0,0,0,0,0,1,1,X,X,,0,0,0,0,0
0,0,0,0,1,0,0,X,X,,0,0,1,0,0
0,0,0,0,1,0,1,X,X,,0,0,0,0,0
0,0,0,0,1,1,0,X,X,,0,0,0,0,0
0,0,0,0,1,1,1,X,X,,0,0,0,0,0
0,0,0,1,0,0,1,X,X,,0,0,0,0,0
0,0,0,1,0,1,0,X,X,,0,0,0,0,0
0,0,0,1,0,1,1,X,X,,0,0,0,0,0
0,0,0,1,1,0,0,X,X,,0,0,0,0,0
0,0,0,1,1,0,1,X,X,,0,0,0,0,0
0,0,0,1,1,1,0,X,X,,0,0,0,0,0
0,0,0,1,1,1,1,X,X,,0,0,0,0,0
0,0,0,1,0,0,0,X,X,,0,0,0,0,0
0,0,1,X,X,X,X,0,0,,0,0,1,0,0
0,0,1,X,X,X,X,1,1,,0,0,1,0,0
0,0,1,X,X,X,X,0,1,,0,1,0,1,0
0,0,1,X,X,X,X,1,0,,0,1,1,0,1
0,1,0,X,X,X,X,X,X,,0,0,0,0,0
0,1,1,X,X,X,X,X,X,,0,0,0,0,0
