A1,A2,A3,G1,G2,G3,G4,CONT,TIME,SELE1,SELE2,SELE3,,F1,F2,F3,B1,B2,B3,B,ENABLE
0,0,0,0,0,0,0,X,X,X,X,X,,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,X,X,X,X,X,,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,X,X,X,X,X,,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,X,X,X,X,X,,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,X,X,X,X,X,,0,0,1,0,0,0,0,0
0,0,1,X,X,X,X,0,0,X,X,X,,0,0,1,0,0,0,0,1
0,0,1,X,X,X,X,0,1,X,X,X,,0,0,0,0,0,0,0,1
0,0,1,X,X,X,X,1,X,X,X,X,,0,1,0,0,0,0,0,1
0,1,0,X,X,X,X,X,X,0,0,0,,0,1,0,0,0,0,0,0
0,1,0,X,X,X,X,X,X,0,0,1,,0,1,1,0,0,0,0,0
0,1,0,X,X,X,X,X,X,0,1,0,,1,0,0,0,0,0,0,0
0,1,0,X,X,X,X,X,X,0,1,1,,1,0,1,0,0,0,0,0
0,1,0,X,X,X,X,X,X,1,0,0,,1,1,0,0,0,0,0,0
0,1,0,X,X,X,X,X,X,1,0,1,,0,1,0,0,0,0,0,0
0,1,0,X,X,X,X,X,X,1,1,0,,0,1,0,0,0,0,0,0
0,1,0,X,X,X,X,X,X,1,1,1,,0,0,1,0,0,0,0,0
0,1,1,X,X,X,X,X,X,X,X,X,,0,0,0,1,0,0,0,0
1,0,0,X,X,X,X,X,X,X,X,X,,0,0,0,0,1,0,0,0
1,0,1,X,X,X,X,X,X,X,X,X,,0,0,0,0,0,1,0,0
1,1,0,X,X,X,X,X,X,X,X,X,,0,0,0,0,0,0,1,0
